sample,PC1,PC2,CTNNB1_status,CTNNB1_z
TCGA-OR-A5LC-01,-0.5812870643076729,-0.10178609546082229,CTNNB1-high,0.7503
TCGA-OR-A5LD-01,-0.7047818679796545,-1.5719128177057136,CTNNB1-low,-0.7292
TCGA-OR-A5LE-01,-0.5233867754417193,2.5364269593313145,CTNNB1-high,1.6906
TCGA-OR-A5LG-01,0.7544102776692869,-0.18054882537949124,CTNNB1-high,-0.0123
TCGA-OR-A5LH-01,-0.729380176053565,-0.4348101842468025,CTNNB1-high,-0.2392
TCGA-OR-A5LJ-01,-0.5924650296106462,0.7781492655504985,CTNNB1-high,0.3064
TCGA-OR-A5LK-01,-0.5964608752105287,-0.39993917892167363,CTNNB1-low,-0.7035
TCGA-OR-A5LL-01,-0.09090742418217906,-0.06806428014285218,CTNNB1-low,-0.5339
TCGA-OR-A5LM-01,-0.6561071203896263,-0.9315854835875779,CTNNB1-low,-1.1645
TCGA-OR-A5LN-01,-0.6837922659331391,-0.782608517066345,CTNNB1-low,-0.9215
TCGA-OR-A5LO-01,-0.4628069244587331,0.46850701184883936,CTNNB1-high,1.1265
TCGA-OR-A5LP-01,-0.6381757039466716,0.10161343301962562,CTNNB1-low,-0.4696
TCGA-OR-A5LR-01,-0.6390410263016302,0.18956385922568514,CTNNB1-high,-0.1093
TCGA-OR-A5LS-01,-0.7947214063674506,-1.2101928458995004,CTNNB1-high,-0.1735
TCGA-OR-A5LT-01,14.044840077670651,0.44776848410527825,CTNNB1-low,-0.4149
TCGA-OU-A5PI-01,-0.8095835593079301,-0.7187030000545062,CTNNB1-high,0.1925
TCGA-P6-A5OF-01,-0.29279022997411286,3.104613273054202,CTNNB1-high,0.0513
TCGA-PA-A5YG-01,-0.6219504192523426,0.3146873027570506,CTNNB1-high,-0.059
TCGA-PK-A5H8-01,14.165995997660472,-1.5437096808783317,CTNNB1-low,-1.0264
TCGA-PK-A5H9-01,-0.6865951839566198,-0.2990857835803645,CTNNB1-low,-0.6055
TCGA-PK-A5HA-01,-0.6854764420906365,-0.34136782725668147,CTNNB1-high,-0.0644
TCGA-PK-A5HB-01,-0.7214838028455188,-1.152233139998064,CTNNB1-low,-0.6057
