gene,TCGA-OR-A5J1-01,TCGA-OR-A5J2-01,TCGA-OR-A5J3-01,TCGA-OR-A5J5-01,TCGA-OR-A5J6-01,TCGA-OR-A5J7-01,TCGA-OR-A5J8-01,TCGA-OR-A5J9-01,TCGA-OR-A5JA-01,TCGA-OR-A5JB-01,TCGA-OR-A5JC-01,TCGA-OR-A5JD-01,TCGA-OR-A5JE-01,TCGA-OR-A5JF-01,TCGA-OR-A5JG-01,TCGA-OR-A5JI-01,TCGA-OR-A5JJ-01,TCGA-OR-A5JK-01,TCGA-OR-A5JL-01,TCGA-OR-A5JM-01,TCGA-OR-A5JO-01,TCGA-OR-A5JP-01,TCGA-OR-A5JQ-01,TCGA-OR-A5JR-01,TCGA-OR-A5JS-01,TCGA-OR-A5JT-01,TCGA-OR-A5JV-01,TCGA-OR-A5JW-01,TCGA-OR-A5JX-01,TCGA-OR-A5JY-01,TCGA-OR-A5JZ-01,TCGA-OR-A5K0-01,TCGA-OR-A5K1-01,TCGA-OR-A5K2-01,TCGA-OR-A5K3-01,TCGA-OR-A5K4-01,TCGA-OR-A5K5-01,TCGA-OR-A5K6-01,TCGA-OR-A5K8-01,TCGA-OR-A5K9-01,TCGA-OR-A5KO-01,TCGA-OR-A5KT-01,TCGA-OR-A5KU-01,TCGA-OR-A5KV-01,TCGA-OR-A5KW-01,TCGA-OR-A5KX-01,TCGA-OR-A5KY-01,TCGA-OR-A5KZ-01,TCGA-OR-A5L3-01,TCGA-OR-A5L4-01,TCGA-OR-A5L5-01,TCGA-OR-A5L6-01,TCGA-OR-A5L8-01,TCGA-OR-A5L9-01,TCGA-OR-A5LA-01,TCGA-OR-A5LB-01,TCGA-OR-A5LC-01,TCGA-OR-A5LD-01,TCGA-OR-A5LE-01,TCGA-OR-A5LG-01,TCGA-OR-A5LH-01,TCGA-OR-A5LJ-01,TCGA-OR-A5LK-01,TCGA-OR-A5LL-01,TCGA-OR-A5LM-01,TCGA-OR-A5LN-01,TCGA-OR-A5LO-01,TCGA-OR-A5LP-01,TCGA-OR-A5LR-01,TCGA-OR-A5LS-01,TCGA-OR-A5LT-01,TCGA-OU-A5PI-01,TCGA-P6-A5OF-01,TCGA-PA-A5YG-01,TCGA-PK-A5H8-01,TCGA-PK-A5H9-01,TCGA-PK-A5HA-01,TCGA-PK-A5HB-01
TP53,-0.7818,-2.0066,0.4275,1.0842,-1.0005,-0.3405,-0.2416,0.9216,0.684,0.2586,0.6012,0.0596,-0.7837,0.4197,-0.9296,-0.7449,2.2061,-0.1142,-1.1812,-0.8271,0.4454,-1.6225,0.2069,-0.9885,0.7886,-0.333,-0.5199,-0.1714,0.84,-1.6848,-0.463,-0.1131,0.2572,-0.1791,-0.6405,-0.3431,-0.7331,2.6767,0.4369,0.8287,-1.7328,-0.1467,0.2888,0.7579,0.333,-0.9755,6.2053,2.0469,0.3215,-0.5466,-0.7677,-0.4218,0.1407,2.25,0.9307,1.3331,1.6374,1.5268,-1.1586,0.9265,0.4204,-1.9148,-0.8935,-0.4226,-0.3005,-1.0001,1.6625,0.0915,-0.5146,0.2309,-0.1944,1.6816,0.8401,-0.6049,-0.2455,0.2261,-0.412,-1.7854
CTNNB1,-0.5345,10.2507,-0.4015,-0.4693,0.0643,-0.3363,-0.2306,1.3609,-0.2989,-1.1173,-0.4157,-0.3494,0.6677,0.5392,-0.1751,-0.8666,-0.2757,-0.6965,0.4237,3.4077,-0.7828,-0.7621,1.5583,-0.3022,0.3422,-0.3733,-0.2131,-0.4779,-0.7639,2.2479,-0.633,2.3952,-0.9749,-0.4702,-1.0604,-0.5508,1.6696,1.627,-1.1332,1.8477,-0.9008,0.3305,0.1193,0.8121,-0.1063,2.2518,0.1519,-0.2672,-0.721,-0.2929,-0.8671,-1.0883,4.8134,-1.1741,-1.1667,-0.2869,0.7503,-0.7292,1.6906,-0.0123,-0.2392,0.3064,-0.7035,-0.5339,-1.1645,-0.9215,1.1265,-0.4696,-0.1093,-0.1735,-0.4149,0.1925,0.0513,-0.059,-1.0264,-0.6055,-0.0644,-0.6057
ZNRF3,0.4188,2.5795,-0.6527,-0.2957,-1.205,-1.3398,-1.2821,-1.7369,-1.5037,-1.3251,-1.7931,-1.2279,-1.2034,-1.7653,-1.0323,-1.2684,2.3423,-1.7852,-0.4626,1.2917,-1.1629,-1.0974,0.0365,-1.2012,1.6988,0.1804,-0.9181,-1.8112,-1.8128,0.4542,0.7502,1.7693,-0.37,-1.5868,-0.3898,0.0654,0.5214,0.8633,-1.7371,-1.7395,-1.636,-1.1487,2.1262,-0.6921,-1.7832,-0.5697,0.4855,-1.7566,-0.4563,-0.4097,-0.466,-1.0635,1.93,-1.4206,-0.6738,1.5172,-1.8122,-0.3622,-0.2766,-0.3962,-0.2063,0.0723,-0.7698,0.4395,-1.2694,-0.9023,-1.8119,0.2156,0.1646,-1.8165,1.3231,-1.6797,4.1894,-0.3134,-0.9898,-0.1963,-0.5431,0.0029
CDKN2A,-0.4257,0.0803,-0.6192,0.826,-0.6191,-0.1853,1.418,0.1854,-0.0743,5.3368,0.136,-0.5992,0.9843,-0.3801,-0.2268,0.4302,0.4556,-0.1982,-0.6698,0.0819,-0.1016,0.1449,-0.2449,-0.1229,-0.3575,-0.3121,-0.2947,-0.7312,0.0733,0.0514,-0.099,-0.4483,-0.3715,0.8076,-0.3038,0.3145,-0.1264,-0.4984,-0.2513,-0.0476,1.4473,0.1597,-0.5701,-0.2332,-0.5391,0.6286,1.2023,-0.7445,-0.57,-0.5774,-0.5394,0.6469,-0.6449,0.0713,-0.584,-0.5993,-0.731,0.9441,-0.0801,-0.7306,-0.3448,-0.423,0.1129,-0.5781,-0.3756,-0.6056,-0.2808,-0.6016,-0.4131,-0.5228,-0.1197,-0.5916,-0.4185,-0.4904,-0.3251,-0.614,0.7676,-0.1065
MEN1,1.8785,0.3874,-2.1641,1.8199,-0.4433,2.5514,0.196,-0.0038,-1.948,1.5048,-0.2959,-0.9099,2.9937,-0.2854,-2.328,-0.8417,0.3572,0.1145,-0.9039,-0.0867,-0.5677,1.7302,0.0826,-0.5298,-0.3592,-0.375,-0.6689,-0.4864,0.0349,0.2221,-0.885,2.5676,-0.585,1.5801,-0.4493,-0.5159,0.2468,-2.4399,-2.6954,-0.7267,-0.695,0.3963,-0.065,1.2164,-2.3525,0.2996,-1.765,0.6633,1.1327,-1.0233,-0.5254,0.3084,-0.6784,-0.6421,-0.3218,-0.4326,-0.6086,1.101,1.22,0.148,-0.2654,0.1128,-0.5355,1.049,-0.1283,0.0474,-0.6639,-0.5487,-0.7502,-0.3914,-1.3176,-0.5133,-2.1747,-1.0497,-0.5266,0.1907,-0.8571,-0.1404
RB1,0.6188,2.9812,-0.2994,-0.886,-0.7672,-1.4736,-0.8291,1.6021,-0.4444,-2.0957,-1.0068,-0.7004,-1.4906,-0.6986,-1.3326,-0.6588,-2.3623,-0.5458,2.0293,1.5631,-0.587,-1.7032,-0.0322,0.4762,-2.7118,-0.1034,2.3669,-0.6575,-0.2706,-0.0229,0.5847,-1.5887,0.2217,-1.1176,-0.1214,0.3694,-2.3945,0.1317,1.5949,0.2105,-2.9064,-1.526,-2.0322,-1.5375,0.6715,-0.6531,1.7158,-0.7673,-1.1989,0.668,0.0086,-0.5993,1.2899,-1.063,-0.5651,-0.103,-0.0654,-1.8454,2.5596,-0.2401,-0.858,0.1918,0.4886,-0.1464,0.6871,-0.0335,0.7173,0.3186,-0.2542,-1.3069,1.3661,-0.6054,2.6436,0.3977,0.1161,0.1228,-0.6327,-2.6443
TERT,-0.1629,-0.3921,-0.3723,-0.2084,-0.3979,-0.3633,-0.3979,-0.2266,-0.3903,-0.3979,-0.1415,-0.3892,-0.2188,-0.3979,0.3678,-0.3979,-0.3529,-0.3869,-0.3979,-0.3172,-0.3901,-0.1451,-0.3979,-0.3979,1.8757,-0.2206,-0.3755,-0.3853,-0.3232,-0.3979,0.4142,-0.3979,0.6032,-0.0622,-0.2676,-0.3979,-0.3186,-0.3906,-0.3979,-0.265,-0.3979,-0.3979,-0.3764,3.1044,-0.2424,9.6808,-0.3724,-0.2409,-0.3979,-0.2243,-0.3979,0.8665,-0.3921,-0.3979,-0.3979,-0.3979,-0.1733,-0.2417,-0.3448,1.1018,-0.3979,-0.3906,-0.3491,0.1875,-0.3633,-0.3979,-0.0867,-0.3979,-0.3979,-0.3784,14.2025,-0.3815,-0.3585,-0.3979,14.5068,-0.3929,-0.39,-0.3979
