msk_cancer_type,n_samples,matched_rare_cancer
Malignant Peripheral Nerve Sheath Tumor,11,Malignant peripheral nerve sheath tumor
High-Grade Neuroendocrine Carcinoma of the Colon and Rectum,11,
Lung Adenosquamous Carcinoma,11,
Uterine Perivascular Epithelioid Cell Tumor,10,
Gliosarcoma,10,Gliosarcoma
Thymic Carcinoma,10,Thymic carcinoma
"Neuroendocrine Carcinoma, NOS",10,
Malignant Phyllodes Tumor of the Breast,10,
Mucinous Ovarian Cancer,9,
Embryonal Rhabdomyosarcoma,9,Embryonal rhabdomyosarcoma
Intimal Sarcoma,9,Intimal sarcoma
Gastrointestinal Neuroendocrine Tumors,9,
Ependymoma,9,Ependymoma
Lung Carcinoid,9,
Pancreatobiliary Ampullary Carcinoma,9,
Esophageal Squamous Cell Carcinoma,9,
Lung Neuroendocrine Tumor,9,
Mature B-Cell Neoplasms,9,
"Poorly Differentiated Carcinoma, NOS",9,
Metaplastic Breast Cancer,8,
Epithelioid Sarcoma,8,Epithelioid sarcoma
Renal Angiomyolipoma,8,
Pleomorphic Liposarcoma,8,Pleomorphic liposarcoma
Thymoma,8,Thymoma
"Neuroendocrine Tumor, NOS",8,
"Low-Grade Glioma, NOS",8,
Goblet Cell Carcinoid of the Appendix,8,
Non-Seminomatous Germ Cell Tumor,8,
Adenosquamous Carcinoma of the Pancreas,8,
Intraductal Papillary Mucinous Neoplasm,8,
Myxofibrosarcoma,7,Myxofibrosarcoma
Bladder Adenocarcinoma,7,
Endometrioid Ovarian Cancer,7,
Prostate Small Cell Carcinoma,7,Small cell neuroendocrine carcinoma of the prostate
Head and Neck Squamous Cell Carcinoma of Unknown Primary,7,
Gastric Type Mucinous Carcinoma,6,
Skin Adnexal Carcinoma,6,
Plasmacytoid/Signet Ring Cell Bladder Carcinoma,6,
Alveolar Soft Part Sarcoma,6,Alveolar soft part sarcoma
Penile Squamous Cell Carcinoma,6,Penile squamous cell carcinoma
Soft Tissue Myoepithelial Carcinoma,6,Malignant myoepithelioma of soft tissue
Mammary Analogue Secretory Carcinoma of Salivary Gland Origin,6,
Alveolar Rhabdomyosarcoma,5,Alveolar rhabdomyosarcoma
Myxoid Chondrosarcoma,5,
Anaplastic Ependymoma,5,
"Pleural Mesothelioma, Biphasic Type",5,
Teratoma,5,
Perivascular Epithelioid Cell Tumor,5,PEComa
Extraskeletal Myxoid Chondrosarcoma,5,Extraskeletal myxoid chondrosarcoma
Cervical Adenosquamous Carcinoma,5,
Renal Mucinous Tubular Spindle Cell Carcinoma,5,
Uterine Epithelioid Leiomyosarcoma,5,
Follicular Thyroid Cancer,5,
Fibrosarcoma,5,Fibrosarcoma
Mixed Ovarian Carcinoma,5,
Signet Ring Cell Type of the Appendix,5,
Epithelioid Hemangioendothelioma,5,Epithelioid hemangioendothelioma
Non-Hodgkin Lymphoma,5,
Atypical Meningioma,5,Atypical meningioma
"Adenocarcinoma, NOS",5,
Poorly Differentiated Carcinoma of the Stomach,5,
Solid Pseudopapillary Neoplasm of the Pancreas,5,Solid pseudopapillary neoplasm of the pancreas
Urethral Adenocarcinoma,4,
Follicular Dendritic Cell Sarcoma,4,Follicular dendritic cell sarcoma
Chondroblastic Osteosarcoma,4,
Hepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma,4,
Myoepithelial Carcinoma,4,Myoepithelial carcinoma
High-Grade Endometrial Stromal Sarcoma,4,High-grade endometrial stromal sarcoma
Squamous Cell Carcinoma of the Vulva/Vagina,4,
Sinonasal Squamous Cell Carcinoma,4,
Pheochromocytoma,4,Pheochromocytoma
Hypopharynx Squamous Cell Carcinoma,4,
Mixed Cervical Carcinoma,4,
Oligoastrocytoma,4,
Pleomorphic Rhabdomyosarcoma,4,Pleomorphic rhabdomyosarcoma
"Uterine Sarcoma, Other",4,
Head and Neck Neuroendocrine Carcinoma,4,
Well-Differentiated Neuroendocrine Tumor of the Rectum,4,
Renal Medullary Carcinoma,4,Renal medullary carcinoma
Salivary Adenocarcinoma,4,
Paraganglioma,4,Paraganglioma
Langerhans Cell Histiocytosis,4,Langerhans cell histiocytosis
Well-Differentiated Neuroendocrine Tumor of the Appendix,4,
Teratoma with Malignant Transformation,4,
Histiocytic and Dendritic Cell Neoplasms,4,
Retinoblastoma,4,Retinoblastoma
Marginal Zone Lymphoma,4,
Mucosal Melanoma of the Esophagus,4,
Undifferentiated Carcinoma of the Pancreas,4,
Sinonasal Adenocarcinoma,4,
Mixed Cancer Types,4,
Uterine Undifferentiated Carcinoma,3,
Esophageal Poorly Differentiated Carcinoma,3,
Breast Angiosarcoma,3,
Clear Cell Sarcoma,3,Clear cell sarcoma
Mucoepidermoid Carcinoma,3,Mucoepidermoid carcinoma
Spindle Cell Rhabdomyosarcoma,3,Spindle cell/sclerosing rhabdomyosarcoma
Osteoblastic Osteosarcoma,3,
"Serous Borderline Ovarian Tumor, Micropapillary",3,
Dermatofibrosarcoma Protuberans,3,Dermatofibrosarcoma protuberans
Pineal Parenchymal Tumor of Intermediate Differentiation,3,Pineal parenchymal tumor of intermediate differentiation
Schwannoma,3,
Hemangioblastoma,3,Hemangioblastoma
Epithelial-Myoepithelial Carcinoma,3,Epithelial-myoepithelial carcinoma
Inflammatory Myofibroblastic Tumor,3,Inflammatory myofibroblastic tumor
Mucosal Melanoma of the Urethra,3,
"Squamous Cell Carcinoma, NOS",3,
Hepatoblastoma,3,Hepatoblastoma
Endometrial Stromal Sarcoma,3,Endometrial stromal sarcoma
Uterine Adenosarcoma,3,Uterine adenosarcoma
Mesenchymal Chondrosarcoma,3,Mesenchymal chondrosarcoma
Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma,3,
Spindle Cell Carcinoma of the Lung,3,Pulmonary sarcomatoid carcinoma
Malignant Lymphoma,3,
Renal Oncocytoma,3,
Dedifferentiated Chondrosarcoma,3,Dedifferentiated chondrosarcoma
Classical Hodgkin Lymphoma,3,
Testicular Mesothelioma,2,Mesothelioma of the tunica vaginalis
Urethral Squamous Cell Carcinoma,2,
Acinic Cell Carcinoma,2,Acinic cell carcinoma
"Pleural Mesothelioma, Sarcomatoid Type",2,
Ossifying Fibromyxoid Tumor,2,
Sweat Gland Carcinoma/Apocrine Eccrine Carcinoma,2,
Sex Cord Stromal Tumor,2,
Well-Differentiated Neuroendocrine Tumors of the Stomach,2,
Uterine Smooth Muscle Tumor of Uncertain Malignant Potential,2,
Hemangiopericytoma of the Central Nervous System,2,
Sertoli-Leydig Cell Tumor,2,
Anaplastic Meningioma,2,Anaplastic meningioma
Wilms' Tumor,2,Wilms tumor
Uterine Myxoid Leiomyosarcoma,2,
Sclerosing Epithelioid Fibrosarcoma,2,Sclerosing epithelioid fibrosarcoma
Undifferentiated Uterine Sarcoma,2,
Pilocytic Astrocytoma,2,Pilocytic astrocytoma
Sweat Gland Adenocarcinoma,2,
