gene,TCGA-RZ-AB0B-01,TCGA-V3-A9ZX-01,TCGA-V3-A9ZY-01,TCGA-V4-A9E5-01,TCGA-V4-A9E7-01,TCGA-V4-A9E8-01,TCGA-V4-A9E9-01,TCGA-V4-A9EA-01,TCGA-V4-A9EC-01,TCGA-V4-A9ED-01,TCGA-V4-A9EE-01,TCGA-V4-A9EF-01,TCGA-V4-A9EH-01,TCGA-V4-A9EI-01,TCGA-V4-A9EJ-01,TCGA-V4-A9EK-01,TCGA-V4-A9EL-01,TCGA-V4-A9EM-01,TCGA-V4-A9EO-01,TCGA-V4-A9EQ-01,TCGA-V4-A9ES-01,TCGA-V4-A9ET-01,TCGA-V4-A9EU-01,TCGA-V4-A9EV-01,TCGA-V4-A9EW-01,TCGA-V4-A9EX-01,TCGA-V4-A9EY-01,TCGA-V4-A9EZ-01,TCGA-V4-A9F0-01,TCGA-V4-A9F1-01,TCGA-V4-A9F2-01,TCGA-V4-A9F3-01,TCGA-V4-A9F4-01,TCGA-V4-A9F5-01,TCGA-V4-A9F7-01,TCGA-V4-A9F8-01,TCGA-VD-A8K7-01,TCGA-VD-A8K8-01,TCGA-VD-A8K9-01,TCGA-VD-A8KA-01,TCGA-VD-A8KB-01,TCGA-VD-A8KD-01,TCGA-VD-A8KE-01,TCGA-VD-A8KF-01,TCGA-VD-A8KG-01,TCGA-VD-A8KH-01,TCGA-VD-A8KI-01,TCGA-VD-A8KJ-01,TCGA-VD-A8KK-01,TCGA-VD-A8KL-01,TCGA-VD-A8KM-01,TCGA-VD-A8KN-01,TCGA-VD-A8KO-01,TCGA-VD-AA8M-01,TCGA-VD-AA8N-01,TCGA-VD-AA8O-01,TCGA-VD-AA8P-01,TCGA-VD-AA8Q-01,TCGA-VD-AA8R-01,TCGA-VD-AA8S-01,TCGA-VD-AA8T-01,TCGA-WC-A87T-01,TCGA-WC-A87U-01,TCGA-WC-A87W-01,TCGA-WC-A87Y-01,TCGA-WC-A880-01,TCGA-WC-A881-01,TCGA-WC-A882-01,TCGA-WC-A883-01,TCGA-WC-A884-01,TCGA-WC-A885-01,TCGA-WC-A888-01,TCGA-WC-A88A-01,TCGA-WC-AA9A-01,TCGA-WC-AA9E-01,TCGA-YZ-A980-01,TCGA-YZ-A982-01,TCGA-YZ-A983-01,TCGA-YZ-A984-01,TCGA-YZ-A985-01
GNAQ,1.0872,-0.0832,-1.1756,-0.8915,-0.1202,-1.6913,-1.0852,-1.9477,-0.5717,-0.325,-0.0638,-0.0278,-0.656,-0.6536,-0.2648,1.406,-0.3028,-0.4401,2.107,-1.1206,3.1039,-1.704,2.3337,0.6682,1.2102,0.2085,-1.3918,-1.8269,0.7353,0.4378,-0.3818,0.4117,0.5185,-0.5008,1.4707,-1.428,0.5704,0.3826,0.0935,0.5063,-0.8826,1.2687,0.8636,0.997,-1.3025,1.2993,-1.5503,-0.0877,-0.3654,-1.4029,-0.4732,0.5756,1.9392,-0.6912,-0.4282,-0.7466,0.4262,0.1588,1.1953,-1.1568,1.4125,0.8337,0.6945,1.1217,1.7842,-0.1648,-0.499,-1.3701,0.3071,-0.5674,-1.0811,-0.2323,-0.5375,1.1324,0.1178,-0.451,-0.4468,0.7506,-1.3198,-0.1827
GNA11,-0.3375,-0.4355,1.2096,0.3534,-0.1811,-0.5504,0.8928,2.0687,-0.387,0.1131,-0.5402,0.5261,-0.0785,-1.0236,0.6877,-1.0243,-1.4361,1.3127,-0.5701,1.5077,-0.4847,1.9276,-0.1151,-1.0426,1.0846,-0.566,2.5911,2.0665,0.1139,-1.0313,-0.1121,-0.1784,0.9073,-1.2198,-0.378,1.5616,0.3533,-0.2224,0.2015,1.297,1.0229,-0.2538,1.0692,-0.1041,1.0981,-0.4407,-0.6247,-0.0706,-1.2187,-0.9615,-1.2032,-0.1981,-0.0104,1.7618,-0.9163,-0.7123,0.7974,-2.0222,0.9355,1.3857,-0.2091,-0.8374,-0.8124,0.501,-0.4711,0.5808,-1.828,0.9204,-2.0347,0.2945,0.3503,-1.5621,-0.5895,-1.8054,-0.8114,-0.4443,-0.7817,-0.1093,-0.5167,-0.2044
BAP1,-1.9417,-2.6339,0.115,0.8854,-2.2916,-2.8576,0.8423,3.6037,-0.2382,-1.5462,-2.582,-2.7862,0.2971,-1.7232,0.0416,-0.9124,-2.9216,0.4658,-1.4603,-2.9556,-2.3516,1.2334,-2.8986,-2.6606,-0.2821,-1.6964,2.3154,0.9594,-2.8634,-2.0609,-0.8404,-2.4799,-0.3787,-2.7088,-0.4869,-1.0738,-0.7201,-1.8476,-0.2574,0.1427,0.6458,-1.8271,0.0399,-2.9247,0.5864,-1.9214,-2.9949,-0.6835,-2.8494,-1.4341,-2.7662,-2.9253,-1.4497,0.0863,-1.9603,-2.7678,-1.7307,-0.1713,-0.9448,0.2756,-2.8311,-0.9325,-0.9255,-0.8572,-2.6794,-0.5795,-0.6799,-1.1998,-2.5575,-0.5667,0.4082,-1.7197,-1.3537,-1.9634,-0.6641,-2.2898,0.5121,-1.0245,-2.8146,-2.9954
SF3B1,0.7573,0.2462,-1.1543,-1.5192,-0.4576,-1.1414,-1.2831,-1.5336,-0.4916,-0.8803,1.8806,-0.6707,-0.5634,0.2936,-0.3519,2.621,0.9102,-0.9405,0.4591,-1.2123,0.404,-1.2265,1.9049,1.1499,0.1772,0.957,-1.5537,-1.5196,-0.0219,0.4419,-0.7831,1.6142,0.2114,-0.8643,1.3489,-1.2434,2.8441,0.2201,0.7142,-0.2292,-0.2692,1.1523,-0.5971,1.3282,-1.0701,0.5094,-0.983,1.2491,-0.598,-0.8251,0.4045,0.0523,1.813,-1.0003,-0.8706,-0.8466,-0.4978,-0.6585,-0.1772,-1.0788,1.891,0.049,0.5126,1.554,0.364,-0.0176,0.927,-1.416,0.3945,-0.6702,-1.1145,0.0028,-0.3034,0.344,0.7533,-0.1417,-0.6032,0.6724,-0.9372,-0.8944
EIF1AX,1.1147,0.4504,-1.1537,-0.4787,-0.5918,-1.4383,-1.382,-1.5957,0.1381,-1.113,1.3248,-0.6021,-0.7518,1.1739,-0.5105,2.0775,0.8392,-1.1292,-0.4495,-1.3116,2.0025,-1.2174,0.7103,0.3331,1.1896,0.7282,-1.5181,-0.9342,-0.2967,3.3802,-0.4042,1.0993,0.3622,0.1429,1.11,-1.6321,1.5574,0.9016,1.791,-0.7129,-0.3921,0.8938,-0.791,1.5111,-0.7925,0.9379,-1.2179,0.5681,-0.6735,-1.0432,0.0651,-0.4554,1.5821,-0.9086,-0.8272,-1.3475,-0.3506,-0.8375,0.528,-1.4023,2.9669,1.2758,1.0956,3.9125,0.6917,0.1137,0.3919,-1.1911,1.2926,-0.8578,-1.051,0.2291,-0.1831,1.0889,1.161,-0.0342,-1.0867,0.5373,-1.1665,-0.684
CYSLTR2,-0.2367,2.7965,-0.4779,-0.4761,-0.4795,0.8987,-0.4795,-0.4795,-0.4795,0.4719,0.3931,-0.4102,-0.477,-0.4023,-0.4786,-0.4736,1.0976,-0.0873,-0.451,-0.4743,-0.4795,0.2278,3.384,0.4283,-0.4795,1.7171,-0.4413,-0.4795,1.0752,0.0558,-0.4756,0.287,-0.4783,-0.4765,-0.4785,-0.4703,-0.4698,0.4597,-0.4755,-0.4795,-0.4783,1.6304,-0.4465,-0.2685,-0.4769,-0.4777,2.62,-0.4776,-0.1196,-0.279,4.765,0.465,-0.4795,-0.478,-0.2949,0.5068,-0.4722,-0.4795,-0.4776,-0.4795,-0.4787,-0.4786,-0.4784,-0.4732,0.7568,-0.4784,-0.4795,-0.4764,-0.4748,-0.4524,-0.4795,0.561,-0.4702,-0.4795,-0.4748,-0.4663,0.5286,-0.4769,-0.4775,-0.4746
PLCB4,-0.0012,-0.8236,-0.7512,-0.7326,0.3197,-0.5702,-1.058,-0.9396,-0.3974,0.8278,-0.8169,0.0256,0.5544,-0.2659,-0.9147,0.6798,-0.6279,-0.8853,2.8137,-0.5813,2.3081,-1.0469,1.4209,-0.4434,1.0503,0.4295,-0.8752,-0.6867,-0.1766,0.2302,-0.1272,-0.5712,-0.6713,0.3802,0.5817,-0.1881,2.1794,-0.2719,-0.0648,-0.6277,-0.1744,2.2529,-0.8175,1.0681,-0.9116,0.0405,0.554,-0.0221,-0.1183,-0.427,-1.0466,1.1762,0.8613,-0.7363,-0.7805,-1.0459,-0.5801,-0.461,0.7504,-1.0129,3.7556,2.2444,1.0503,1.8179,-0.4711,-0.9669,0.2989,-0.7971,-0.8941,-0.9402,-1.0366,-0.592,0.2334,-0.0764,-0.6037,-0.5804,-0.4229,-0.3205,0.1622,0.8944
